"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"1081","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: No Working Person",6097
"1082","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: Below $1,000",2425
"1083","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: $1,000 to $2,999",7754
"1084","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: $3,000 to $4,999",6666
"1085","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: $5,000 to $9,999",9463
"1086","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 1-3 Rooms",16783,"Income: $10,000 & Over",7881
"1087","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: No Working Person",6097
"1088","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: Below $1,000",2425
"1089","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: $1,000 to $2,999",7754
"1090","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: $3,000 to $4,999",6666
"1091","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: $5,000 to $9,999",9463
"1092","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: HDB 4-5 Rooms",14364,"Income: $10,000 & Over",7881
"1093","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: No Working Person",6097
"1094","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: Below $1,000",2425
"1095","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: $1,000 to $2,999",7754
"1096","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: $3,000 to $4,999",6666
"1097","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: $5,000 to $9,999",9463
"1098","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Condominiums and Other Apartments",6038,"Income: $10,000 & Over",7881
"1099","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: No Working Person",6097
"1100","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: Below $1,000",2425
"1101","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: $1,000 to $2,999",7754
"1102","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: $3,000 to $4,999",6666
"1103","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: $5,000 to $9,999",9463
"1104","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Landed Properties",2135,"Income: $10,000 & Over",7881
"1105","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: No Working Person",6097
"1106","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: Below $1,000",2425
"1107","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: $1,000 to $2,999",7754
"1108","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: $3,000 to $4,999",6666
"1109","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: $5,000 to $9,999",9463
"1110","Geylang",21798,"1/1/2010","Education: No Qualification",18653,"Housing: Others",577,"Income: $10,000 & Over",7881
"1111","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: No Working Person",6097
"1112","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: Below $1,000",2425
"1113","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: $1,000 to $2,999",7754
"1114","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: $3,000 to $4,999",6666
"1115","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: $5,000 to $9,999",9463
"1116","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 1-3 Rooms",16783,"Income: $10,000 & Over",7881
"1117","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: No Working Person",6097
"1118","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: Below $1,000",2425
"1119","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: $1,000 to $2,999",7754
"1120","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: $3,000 to $4,999",6666
"1121","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: $5,000 to $9,999",9463
"1122","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: HDB 4-5 Rooms",14364,"Income: $10,000 & Over",7881
"1123","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: No Working Person",6097
"1124","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: Below $1,000",2425
"1125","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: $1,000 to $2,999",7754
"1126","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: $3,000 to $4,999",6666
"1127","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: $5,000 to $9,999",9463
"1128","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Condominiums and Other Apartments",6038,"Income: $10,000 & Over",7881
"1129","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: No Working Person",6097
"1130","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: Below $1,000",2425
"1131","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: $1,000 to $2,999",7754
"1132","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: $3,000 to $4,999",6666
"1133","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: $5,000 to $9,999",9463
"1134","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Landed Properties",2135,"Income: $10,000 & Over",7881
"1135","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: No Working Person",6097
"1136","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: Below $1,000",2425
"1137","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: $1,000 to $2,999",7754
"1138","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: $3,000 to $4,999",6666
"1139","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: $5,000 to $9,999",9463
"1140","Geylang",21798,"1/1/2010","Education: Primary to Secondary",35223,"Housing: Others",577,"Income: $10,000 & Over",7881
"1141","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: No Working Person",6097
"1142","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: Below $1,000",2425
"1143","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: $1,000 to $2,999",7754
"1144","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: $3,000 to $4,999",6666
"1145","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: $5,000 to $9,999",9463
"1146","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 1-3 Rooms",16783,"Income: $10,000 & Over",7881
"1147","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: No Working Person",6097
"1148","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: Below $1,000",2425
"1149","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: $1,000 to $2,999",7754
"1150","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: $3,000 to $4,999",6666
"1151","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: $5,000 to $9,999",9463
"1152","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: HDB 4-5 Rooms",14364,"Income: $10,000 & Over",7881
"1153","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: No Working Person",6097
"1154","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: Below $1,000",2425
"1155","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: $1,000 to $2,999",7754
"1156","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: $3,000 to $4,999",6666
"1157","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: $5,000 to $9,999",9463
"1158","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Condominiums and Other Apartments",6038,"Income: $10,000 & Over",7881
"1159","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: No Working Person",6097
"1160","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: Below $1,000",2425
"1161","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: $1,000 to $2,999",7754
"1162","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: $3,000 to $4,999",6666
"1163","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: $5,000 to $9,999",9463
"1164","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Landed Properties",2135,"Income: $10,000 & Over",7881
"1165","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: No Working Person",6097
"1166","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: Below $1,000",2425
"1167","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: $1,000 to $2,999",7754
"1168","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: $3,000 to $4,999",6666
"1169","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: $5,000 to $9,999",9463
"1170","Geylang",21798,"1/1/2010","Education: University",17361,"Housing: Others",577,"Income: $10,000 & Over",7881
"1171","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: No Working Person",5058
"1172","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: Below $1,000",1749
"1173","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: $1,000 to $2,999",10613
"1174","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: $3,000 to $4,999",11128
"1175","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: $5,000 to $9,999",18887
"1176","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 1-3 Rooms",10199,"Income: $10,000 & Over",14850
"1177","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: No Working Person",5058
"1178","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: Below $1,000",1749
"1179","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: $1,000 to $2,999",10613
"1180","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: $3,000 to $4,999",11128
"1181","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: $5,000 to $9,999",18887
"1182","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: HDB 4-5 Rooms",40729,"Income: $10,000 & Over",14850
"1183","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: No Working Person",5058
"1184","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: Below $1,000",1749
"1185","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: $1,000 to $2,999",10613
"1186","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: $3,000 to $4,999",11128
"1187","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: $5,000 to $9,999",18887
"1188","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Condominiums and Other Apartments",4768,"Income: $10,000 & Over",14850
"1189","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: No Working Person",5058
"1190","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: Below $1,000",1749
"1191","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: $1,000 to $2,999",10613
"1192","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: $3,000 to $4,999",11128
"1193","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: $5,000 to $9,999",18887
"1194","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Landed Properties",5486,"Income: $10,000 & Over",14850
"1195","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: No Working Person",5058
"1196","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: Below $1,000",1749
"1197","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: $1,000 to $2,999",10613
"1198","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: $3,000 to $4,999",11128
"1199","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: $5,000 to $9,999",18887
"1200","Hougang",41004,"1/1/2010","Education: No Qualification",26236,"Housing: Others",357,"Income: $10,000 & Over",14850
"1201","Hougang",41004,"1/1/2010","Education: Primary to Secondary",62241,"Housing: HDB 1-3 Rooms",10199,"Income: No Working Person",5058
